Key,Ref,Year,"Sensor modality

","Sensor type

"
abdu_activity_2022,\cite{abdu_activity_2022},2022,Ambient,"mmWave/FMCW radar
"
kaur_fall_2022,\cite{kaur_fall_2022},2022,Ambient,Acoustic
wang_indoor_2022,\cite{wang_indoor_2022},2022,Ambient,"Wi-Fi CSI
"
ji_sifall_2022,\cite{ji_sifall_2022},2022,Ambient,"Wi-Fi CSI
"
tohidypour_security-centric_2022,\cite{tohidypour_security-centric_2022},2022,Vision,RGB camera
lin_fall_2022,\cite{lin_fall_2022},2022,Vision,"RGB camera
"
prasad_real-time_2022,\cite{prasad_real-time_2022},2022,Vision,"Dynamic Vision Sensor (DVS)
"
yu_elderly_2022,\cite{yu_elderly_2022},2022,Wearable,Accelerometer
thipprachak_convolutional_2023,\cite{thipprachak_convolutional_2023},2023,Ambient,"UWB radar 
"
akash_elderly_2023,\cite{akash_elderly_2023},2023,Ambient,"mmWave/FMCW radar
"
gu_ir-st_2023,\cite{gu_ir-st_2023},2023,Ambient,"mmWave/FMCW radar
"
rocha_qoe-aware_2023,\cite{rocha_qoe-aware_2023},2023,Ambient,Vibration/Pressure sensing
wu_toward_2023,\cite{wu_toward_2023},2023,Ambient,Vibration/Pressure sensing
zhang_waffle_2023,\cite{zhang_waffle_2023},2023,Ambient,"mmWave/FMCW radar
"
he_noncontact_2023,\cite{he_noncontact_2023},2023,"Vision; Ambient
",Microwave Doppler radar; Thermal Sensors
chen_fall_2023,\cite{chen_fall_2023},2023,"Vision; Ambient
",Vibration/Pressure sensing; Thermal Sensors
qi_fl-fd_2023,\cite{qi_fl-fd_2023},2023,"Wearable; Vision
",Accelerometer; Gyroscope; RGB cameras
ramesh_efficient_2023,\cite{ramesh_efficient_2023},2023,Vision,"RGB camera; Depth camera
"
prasad_hybrid_2023,\cite{prasad_hybrid_2023},2023,Vision,"Dynamic Vision Sensor (DVS)
"
naser_privacy-preserving_2023,\cite{naser_privacy-preserving_2023},2023,Vision,Thermal Sensors
zahan_sdfa_2023,\cite{zahan_sdfa_2023},2023,Vision,RGB camera
mobsite_semantic_2023,\cite{mobsite_semantic_2023},2023,Vision,RGB camera
saha_blockthefall_2023,\cite{saha_blockthefall_2023},2023,Wearable,"Accelerometer; Gyroscope; Magnetometer
"
reyad_developed_2023,\cite{reyad_developed_2023},2023,Wearable,Accelerometer
froehlich_millimeter-wave_2024,\cite{froehlich_millimeter-wave_2024},2024,Ambient,"mmWave/FMCW radar
"
li_enhanced_2024,\cite{li_enhanced_2024},2024,Ambient,"mmWave/FMCW radar
"
liu_enhancing_2024,\cite{liu_enhancing_2024},2024,Ambient,Acoustic
thipprachak_privacy-preserving_2024,\cite{thipprachak_privacy-preserving_2024},2024,Ambient,"UWB radar
"
chen_sensing_2024,\cite{chen_sensing_2024},2024,Ambient,"Wi-Fi CSI
"
razali_threshold,\cite{razali_threshold},2024,Ambient,"Passive Wi-Fi radar
"
mobsite_privacy-preserving_2024,\cite{mobsite_privacy-preserving_2024},2024,Vision,RGB camera
de_frutos_fall_2024,\cite{de_frutos_fall_2024},2024,Vision,RGB camera
wu_video-based_2024,\cite{wu_video-based_2024},2024,Vision,RGB camera
wang_artificial_2024,\cite{wang_artificial_2024},2024,Wearable,Accelerometer; Gyroscope
