Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Artificial Intelligence for Elderly Fall Detection: State-of-the-art Methods, Applications and Challenges",Cognitive Computation,,,,10.1007/s12559-026-10550-5,Md Jaber Al NahianJasiya Fairiz RaisaMufti MahmudM. Shamim KaiserMd Atiqur Rahman AhadTapotosh GhoshMd. Hasan Al BannaMohammad Shahadat HossainKarl Andersson,2026,https://link.springer.com/article/10.1007/s12559-026-10550-5,Article
TCN-BiSRU-V2 fall detection model with performance evaluation and comparative analysis,Discover Computing,,,,10.1007/s10791-025-09700-4,Mithun Singh AhirwarVaibhav Soni,2025,https://link.springer.com/article/10.1007/s10791-025-09700-4,Article
Artificial intelligence security and privacy: a survey,Science China Information Sciences,,,,10.1007/s11432-025-4388-5,Xinlei HeGuowen XuXingshuo HanQian WangLingchen ZhaoChao ShenChenhao LinZhengyu ZhaoQian LiLe YangShouling JiShaofeng LiHaojin ZhuZhibo WangRui ZhengTianqing ZhuQi LiChaoxiang HeQifan WangHongsheng HuShuo WangShi-Feng SunHongwei YaoZhan QinKai ChenYue ZhaoHongwei LiXinyi HuangDengguo Feng,2025,https://link.springer.com/article/10.1007/s11432-025-4388-5,Article
Privacy and security in recommenders: an analytical review,Artificial Intelligence Review,,,,10.1007/s10462-025-11333-4,Bolanle Adefowoke OjokohFolasade Olubusola IsinkayeMing ZhangJoshua Joshua TomArome Junior GabrielOlaitan AfolabiBamidele Afolabi,2025,https://link.springer.com/article/10.1007/s10462-025-11333-4,Article
"A Review on AI Approaches in Elderly fall Monitoring Systems: Taxonomies, Challenges, and Open Issues",Cognitive Computation,,,,10.1007/s12559-025-10532-z,Shahab S.BandMeghdad BiyariChung-Chian HsuTommaso RugaEster ZumpanoLuciano CaropreseEugenio VocaturoIman DehzangiBharat S. RawalHuey-Wen Liang,2025,https://link.springer.com/article/10.1007/s12559-025-10532-z,Article
Automatic identification of privacy and security requirements: a systematic literature review,Requirements Engineering,,,,10.1007/s00766-025-00455-4,Francesco CasilloVincenzo DeufemiaCarmine Gravino,2025,https://link.springer.com/article/10.1007/s00766-025-00455-4,Article
"Security and privacy in complex, context-aware systems: a comprehensive framework",International Journal of Information Security,,,,10.1007/s10207-026-01228-y,Antoni Martínez-BallestéEdgar BatistaElena FigueroaKaouther NouniAgusti SolanasFran Casino,2026,https://link.springer.com/article/10.1007/s10207-026-01228-y,Article
A systematic review of lightweight cryptographic schemes for security and privacy in IoT,Discover Computing,,,,10.1007/s10791-025-09755-3,Shaharyar Alam AnsariSalman Ali,2025,https://link.springer.com/article/10.1007/s10791-025-09755-3,Article
Secure blockchain based intrusion detection for IoT networks,Discover Computing,,,,10.1007/s10791-025-09754-4,Atul KumarBhisham SharmaAjit Noonia,2025,https://link.springer.com/article/10.1007/s10791-025-09754-4,Article
A hybrid metaheuristic federated learning approach based attack detection system for multi-cloud environment,Journal of Cloud Computing,,,,10.1186/s13677-025-00797-y,Rashmi VermaManisha Jailia,2025,https://link.springer.com/article/10.1186/s13677-025-00797-y,Article
CTDMF-SC: cybersecurity threat detection and mitigation framework for smart cities,International Journal of Information Security,,,,10.1007/s10207-025-01195-w,Shahzad AshrafChang ChoiAhmad Bilal,2026,https://link.springer.com/article/10.1007/s10207-025-01195-w,Article
Development of an intelligent intrusion detection system for IoT networks using deep learning,Discover Internet of Things,,,,10.1007/s43926-025-00177-7,Haozhe Zhang,2025,https://link.springer.com/article/10.1007/s43926-025-00177-7,Article
SmartTrust: a hybrid deep learning framework for real-time threat detection in cloud environments using Zero-Trust Architecture,Journal of Cloud Computing,,,,10.1186/s13677-025-00764-7,Umesh Kumar LilhoreSarita SimaiyaRoobaea AlroobaeaAbdullah M. BaqasahMajed AlsafyaniAfnan AlhazmiMd Monish Khan,2025,https://link.springer.com/article/10.1186/s13677-025-00764-7,Article
FSEGM: feature selection and ensemble generative model for adaptive cloud security,Journal of Cloud Computing,,,,10.1186/s13677-025-00818-w,Chinmayee RoutSrinivas SethiJ. Chandrakanta BadajenaRamesh Kumar Sahoo,2025,https://link.springer.com/article/10.1186/s13677-025-00818-w,Article
SoK: Towards Privacy-Centric Collaborative Machine Learning—A Classification Framework for Privacy Solutions,SN Computer Science,,,,10.1007/s42979-025-04482-4,Pakayal Edmond BoarPradip Kumar SharmaRaja Naeem AkramWanpeng Li,2025,https://link.springer.com/article/10.1007/s42979-025-04482-4,Article
A review of artificial intelligence techniques for anomaly detection in smart grid,Artificial Intelligence Review,,,,10.1007/s10462-025-11429-x,Md Al Amin SarkerIrrai Anbu JayarajBharanidharan ShanmugamSami AzamSuresh Thennadil,2026,https://link.springer.com/article/10.1007/s10462-025-11429-x,Article
Feature reduction in federated learning for intrusion detection in IoT networks,Cybersecurity,,,,10.1186/s42400-025-00509-8,Thien D. NguyenAmmar AlazabAnsam KhraisatTony Jan,2026,https://link.springer.com/article/10.1186/s42400-025-00509-8,Article
Federated learning-based hybrid convolutional recurrent neural network for multi-class intrusion detection in IoT networks,Discover Internet of Things,,,,10.1007/s43926-025-00130-8,Prabu SelvamP. KarthikeyanS. ManochitraA. V. L. N. SujithT. GanesanRajaram AyyasamyMohammed ShuaibShadab AlamA. Rajendran,2025,https://link.springer.com/article/10.1007/s43926-025-00130-8,Article
RF-FedAvg: Federated learning-based random forest model for intrusion detection in wireless sensor networks,Cluster Computing,,,,10.1007/s10586-025-05591-8,Ansam KhraisatMd. Alamin TalukderMd. Ashraf UddinAmmar Alazab,2025,https://link.springer.com/article/10.1007/s10586-025-05591-8,Article
Artificial intelligence advances in anomaly detection for telecom networks,Artificial Intelligence Review,,,,10.1007/s10462-025-11108-x,Enerst EdozieAliyu Nuhu ShuaibuBashir Olaniyi SadiqUkagwu Kelechi John,2025,https://link.springer.com/article/10.1007/s10462-025-11108-x,Article
"An assessment of synthetic data generation, use and disclosure under Canadian privacy regulations",AI and Ethics,,,,10.1007/s43681-025-00819-0,Lisa PilgramAnita FinebergElizabeth JonkerKhaled El Emam,2025,https://link.springer.com/article/10.1007/s43681-025-00819-0,Article
Energy-efficient threat detection in IoT healthcare using AI and blockchain-enhanced fog–cloud architecture,Cluster Computing,,,,10.1007/s10586-025-05932-7,Malak AlamriNoshina TariqMamoona HumayunMenwa Alshammeri,2026,https://link.springer.com/article/10.1007/s10586-025-05932-7,Article
Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,Discover Internet of Things,,,,10.1007/s43926-025-00202-9,Sara Mohammed AlasmariHouneida SaklyNaoufel KraiemAli Algarni,2025,https://link.springer.com/article/10.1007/s43926-025-00202-9,Article
Modeling interdependent privacy threats,International Journal of Information Security,,,,10.1007/s10207-025-01135-8,Shuaishuai LiuGergely Biczók,2025,https://link.springer.com/article/10.1007/s10207-025-01135-8,Article
SSLA: a semi-supervised framework for real-time injection detection and anomaly monitoring in cloud-based web applications with real-world implementation and evaluation,Journal of Cloud Computing,,,,10.1186/s13677-025-00765-6,Seyed Salar SefatiBahman ArastehOctavian FratuSimona Halunga,2025,https://link.springer.com/article/10.1186/s13677-025-00765-6,Article
