Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Deep learning for computer vision based activity recognition and fall detection of the elderly: a systematic review,Applied Intelligence,,,,10.1007/s10489-024-05645-1,F. Xavier Gaya-MoreyCristina Manresa-YeeJosé M. Buades-Rubio,2024,https://link.springer.com/article/10.1007/s10489-024-05645-1,Article
"Video analytic system for activity profiling, fall detection, and unstable motion detection",Multimedia Tools and Applications,,,,10.1007/s11042-023-14993-y,Aniqua Nusrat ZereenAnubinda GurungAmir RajakJednipat MoonrintaMatthew N. DaileyMongkol EkpanyapongRoongtiwa VachalathitiSunee Bovonsunthonchai,2023,https://link.springer.com/article/10.1007/s11042-023-14993-y,Article
Security and privacy in virtual reality: a literature survey,Virtual Reality,,,,10.1007/s10055-024-01079-9,Alberto Giaretta,2024,https://link.springer.com/article/10.1007/s10055-024-01079-9,Article
Privacy-Aware Anomaly Detection in IoT Environments using FedGroup: A Group-Based Federated Learning Approach,Journal of Network and Systems Management,,,,10.1007/s10922-023-09782-9,Yixuan ZhangBasem SuleimanMuhammad Johan AlibasaFarnaz Farid,2024,https://link.springer.com/article/10.1007/s10922-023-09782-9,Article
Trustworthy machine learning in the context of security and privacy,International Journal of Information Security,,,,10.1007/s10207-024-00813-3,Ramesh UpretiPedro G. LindAhmed ElmokashfiAnis Yazidi,2024,https://link.springer.com/article/10.1007/s10207-024-00813-3,Article
A review of time-series analysis for cyber security analytics: from intrusion detection to attack prediction,International Journal of Information Security,,,,10.1007/s10207-024-00921-0,Max LandauerFlorian SkopikBranka StojanovićAndreas FlatscherTorsten Ullrich,2024,https://link.springer.com/article/10.1007/s10207-024-00921-0,Article
Using efficient deep learning techniques for mobile crowd sensing detection in an IOTA-based framework,Discover Computing,,,,10.1007/s10791-024-09493-y,Mohammed Naif Alatawi,2024,https://link.springer.com/article/10.1007/s10791-024-09493-y,Article
Anomaly detection and defense techniques in federated learning: a comprehensive review,Artificial Intelligence Review,,,,10.1007/s10462-024-10796-1,Chang ZhangShunkun YangLingfeng MaoHuansheng Ning,2024,https://link.springer.com/article/10.1007/s10462-024-10796-1,Article
A large-scale data security detection method based on continuous time graph embedding framework,Journal of Cloud Computing,,,,10.1186/s13677-023-00460-4,Zhaowei LiuWeishuai CheShenqiang WangJindong XuHaoyu Yin,2023,https://link.springer.com/article/10.1186/s13677-023-00460-4,Article
Staying ahead of phishers: a review of recent advances and emerging methodologies in phishing detection,Artificial Intelligence Review,,,,10.1007/s10462-024-11055-z,S. KavyaD. Sumathi,2024,https://link.springer.com/article/10.1007/s10462-024-11055-z,Article
